Date,Close_Price,Type,Lower_Bound,Upper_Bound,MA_7,Volatility
2006-01-03,40.91,Historical,,,,
2006-01-04,40.97,Historical,,,,0.1466634074798412
2006-01-05,41.53,Historical,,,,1.366853795460088
2006-01-06,43.21,Historical,,,,4.045268480616415
2006-01-09,43.42,Historical,,,,0.48599861143254763
2006-01-10,42.98,Historical,,,,1.0133578995854542
2006-01-11,41.87,Historical,,,42.12714285714286,2.5825965565379194
2006-01-12,40.89,Historical,,,42.12428571428571,2.3405779794602233
2006-01-13,39.9,Historical,,,41.971428571428575,2.421129860601623
2006-01-17,40.11,Historical,,,41.76857142857143,0.5263157894736858
2006-01-18,35.18,Historical,,,40.62142857142857,12.291199202193969
2006-01-19,34.33,Historical,,,39.32285714285714,2.416145537237069
2006-01-20,33.74,Historical,,,38.00285714285714,1.7186134576172352
2006-01-23,34.17,Historical,,,36.902857142857144,1.2744516893894442
2006-01-24,34.87,Historical,,,36.04285714285714,2.0485806262803496
2006-01-25,34.49,Historical,,,35.269999999999996,1.0897619730427133
2006-01-26,35.17,Historical,,,34.56428571428571,1.9715859669469316
2006-01-27,35.09,Historical,,,34.55142857142857,0.22746659084446064
2006-01-30,35.05,Historical,,,34.65428571428571,0.11399259048163746
2006-01-31,34.38,Historical,,,34.745714285714286,1.9115549215406369
2006-02-01,35.0,Historical,,,34.864285714285714,1.803374054682938
2006-02-02,34.25,Historical,,,34.77571428571429,2.1428571428571463
2006-02-03,33.54,Historical,,,34.64,2.0729927007299254
2006-02-06,32.92,Historical,,,34.318571428571424,1.8485390578413807
2006-02-07,33.02,Historical,,,34.02285714285714,0.3037667071688954
2006-02-08,33.0,Historical,,,33.730000000000004,0.060569351907946434
2006-02-09,32.5,Historical,,,33.46142857142858,1.5151515151515138
2006-02-10,32.51,Historical,,,33.105714285714285,0.030769230769234213
2006-02-13,32.04,Historical,,,32.79,1.4457090126114958
2006-02-14,32.72,Historical,,,32.67285714285715,2.122347066167296
2006-02-15,33.02,Historical,,,32.68714285714286,0.9168704156479413
2006-02-16,32.75,Historical,,,32.64857142857143,0.8176862507571214
2006-02-17,32.76,Historical,,,32.614285714285714,0.03053435114503955
2006-02-21,32.39,Historical,,,32.598571428571425,1.1294261294261254
2006-02-22,33.16,Historical,,,32.691428571428574,2.3772769373263225
2006-02-23,33.15,Historical,,,32.85,0.030156815440285367
2006-02-24,33.01,Historical,,,32.89142857142857,0.42232277526395023
2006-02-27,32.74,Historical,,,32.85142857142857,0.8179339594062252
2006-02-28,32.06,Historical,,,32.75285714285714,2.0769700671960933
2006-03-01,32.18,Historical,,,32.67,0.37429819089207506
2006-03-02,31.7,Historical,,,32.57142857142857,1.4916096954630254
2006-03-03,31.45,Historical,,,32.32714285714285,0.7886435331230235
2006-03-06,31.57,Historical,,,32.10142857142857,0.3815580286168574
2006-03-07,31.43,Historical,,,31.875714285714285,0.44345898004434225
2006-03-08,30.99,Historical,,,31.625714285714285,1.3999363665287978
2006-03-09,30.28,Historical,,,31.37142857142857,2.2910616327847633
2006-03-10,30.58,Historical,,,31.142857142857142,0.9907529722589015
2006-03-13,30.15,Historical,,,30.92142857142857,1.4061478090255042
2006-03-14,30.99,Historical,,,30.85571428571429,2.7860696517412853
2006-03-15,30.53,Historical,,,30.707142857142856,1.484349790254913
2006-03-16,30.13,Historical,,,30.521428571428572,1.3101867016049873
2006-03-17,30.07,Historical,,,30.389999999999997,0.19913707268502945
2006-03-20,30.44,Historical,,,30.412857142857142,1.230462254738951
2006-03-21,30.11,Historical,,,30.345714285714287,1.0840998685939573
2006-03-22,30.75,Historical,,,30.43142857142857,2.125539687811351
2006-03-23,31.83,Historical,,,30.55142857142857,3.5121951219512226
2006-03-24,31.77,Historical,,,30.728571428571428,0.18850141376060003
2006-03-27,31.45,Historical,,,30.917142857142856,1.007239534151716
2006-03-28,32.39,Historical,,,31.24857142857143,2.988871224165357
2006-03-29,32.56,Historical,,,31.551428571428573,0.5248533497993257
2006-03-30,32.42,Historical,,,31.881428571428568,0.4299754299754266
2006-03-31,32.26,Historical,,,32.097142857142856,0.4935225169648505
2006-04-03,31.89,Historical,,,32.105714285714285,1.146931184128941
2006-04-04,32.1,Historical,,,32.152857142857144,0.6585136406396908
2006-04-05,32.11,Historical,,,32.24714285714286,0.031152647975063452
2006-04-06,32.79,Historical,,,32.30428571428572,2.117720336343809
2006-04-07,32.27,Historical,,,32.262857142857136,1.5858493443122734
2006-04-10,32.55,Historical,,,32.28142857142857,0.867678958785234
2006-04-11,31.39,Historical,,,32.15714285714286,3.563748079877105
2006-04-12,31.1,Historical,,,32.044285714285714,0.9238611022618692
2006-04-13,31.13,Historical,,,31.905714285714286,0.09646302250803096
2006-04-17,30.97,Historical,,,31.742857142857144,0.5139736588499866
2006-04-18,31.3,Historical,,,31.529999999999998,1.065547303842429
2006-04-19,33.54,Historical,,,31.711428571428574,7.156549520766764
2006-04-20,33.37,Historical,,,31.82857142857143,0.5068574836016748
2006-04-21,32.89,Historical,,,32.042857142857144,1.4384177404854537
2006-04-24,33.01,Historical,,,32.315714285714286,0.3648525387655699
2006-04-25,31.99,Historical,,,32.43857142857143,3.089972735534685
2006-04-26,33.0,Historical,,,32.72857142857143,3.15723663644889
2006-04-27,33.2,Historical,,,33.0,0.60606060606061
2006-04-28,32.78,Historical,,,32.89142857142857,1.2650602409638556
2006-05-01,32.08,Historical,,,32.707142857142856,2.1354484441732824
2006-05-02,31.85,Historical,,,32.558571428571426,0.7169576059850247
2006-05-03,32.17,Historical,,,32.43857142857143,1.0047095761381408
2006-05-04,32.19,Historical,,,32.46714285714286,0.062169723344718264
2006-05-05,32.66,Historical,,,32.41857142857143,1.460080770425587
2006-05-08,32.87,Historical,,,32.371428571428574,0.6429883649724522
2006-05-09,32.49,Historical,,,32.33,1.156069364161838
2006-05-10,32.09,Historical,,,32.33142857142857,1.231148045552477
2006-05-11,30.99,Historical,,,32.20857142857143,3.4278591461514685
2006-05-12,30.81,Historical,,,32.01428571428571,0.5808325266214887
2006-05-15,31.03,Historical,,,31.84857142857143,0.7140538786108541
2006-05-16,30.97,Historical,,,31.607142857142858,0.19336126329358994
2006-05-17,30.11,Historical,,,31.21285714285714,2.7768808524378463
2006-05-18,29.0,Historical,,,30.714285714285715,3.686482896047827
2006-05-19,29.53,Historical,,,30.34857142857143,1.8275862068965587
2006-05-22,30.46,Historical,,,30.27285714285714,3.1493396545885455
2006-05-23,30.76,Historical,,,30.265714285714285,0.9848982271831952
2006-05-24,31.79,Historical,,,30.374285714285715,3.3485045513653944
2006-05-25,32.92,Historical,,,30.65285714285714,3.554576910978313
2006-05-26,33.02,Historical,,,31.06857142857143,0.3037667071688954
2006-05-30,32.0,Historical,,,31.497142857142858,3.0890369473046686
2006-05-31,31.59,Historical,,,31.791428571428575,1.2812500000000004
2006-06-01,31.99,Historical,,,32.01,1.2662234884457169
2006-06-02,31.52,Historical,,,32.11857142857143,1.4692091278524555
2006-06-05,30.82,Historical,,,31.979999999999997,2.2208121827411165
2006-06-06,30.7,Historical,,,31.662857142857142,0.3893575600259602
2006-06-07,30.54,Historical,,,31.30857142857143,0.5211726384364845
2006-06-08,30.45,Historical,,,31.087142857142855,0.29469548133594925
2006-06-09,30.37,Historical,,,30.912857142857142,0.2627257799671545
2006-06-12,29.78,Historical,,,30.59714285714286,1.942706618373391
2006-06-13,29.65,Historical,,,30.330000000000002,0.4365345869711268
2006-06-14,29.62,Historical,,,30.15857142857143,0.10118043844855595
2006-06-15,30.79,Historical,,,30.171428571428574,3.9500337609723157
2006-06-16,30.36,Historical,,,30.145714285714284,1.3965573238064244
2006-06-19,30.35,Historical,,,30.131428571428575,0.032938076416333395
2006-06-20,30.6,Historical,,,30.164285714285715,0.8237232289950658
2006-06-21,31.06,Historical,,,30.34714285714286,1.5032679738562038
2006-06-22,30.68,Historical,,,30.494285714285713,1.2234385061171915
2006-06-23,31.37,Historical,,,30.744285714285713,2.249022164276404
2006-06-26,31.55,Historical,,,30.852857142857143,0.573796620975453
2006-06-27,31.51,Historical,,,31.017142857142858,0.12678288431061668
2006-06-28,31.92,Historical,,,31.24142857142857,1.3011742304030571
2006-06-29,32.97,Historical,,,31.580000000000002,3.289473684210509
2006-06-30,33.0,Historical,,,31.857142857142858,0.09099181073703999
2006-07-03,33.3,Historical,,,32.23142857142857,0.9090909090909038
2006-07-05,32.47,Historical,,,32.38857142857143,2.492492492492493
2006-07-06,33.11,Historical,,,32.61142857142857,1.9710502001847985
2006-07-07,32.5,Historical,,,32.752857142857145,1.842343702808813
2006-07-10,32.85,Historical,,,32.885714285714286,1.0769230769230864
2006-07-11,33.17,Historical,,,32.91428571428572,0.9741248097412392
2006-07-12,33.38,Historical,,,32.96857142857143,0.6331022007838527
2006-07-13,32.23,Historical,,,32.815714285714286,3.4451767525464527
2006-07-14,32.08,Historical,,,32.760000000000005,0.46540490226496534
2006-07-17,31.84,Historical,,,32.57857142857143,0.7481296758104716
2006-07-18,32.24,Historical,,,32.541428571428575,1.2562814070351758
2006-07-19,25.2,Historical,,,31.44857142857143,21.836228287841198
2006-07-20,25.27,Historical,,,30.32,0.2777777777777768
2006-07-21,25.89,Historical,,,29.25,2.4535021764938714
2006-07-24,26.94,Historical,,,28.494285714285716,4.055619930475096
2006-07-25,26.95,Historical,,,27.76142857142857,0.0371195248700662
2006-07-26,27.08,Historical,,,27.08142857142857,0.48237476808905555
2006-07-27,26.7,Historical,,,26.289999999999996,1.4032496307237796
2006-07-28,27.47,Historical,,,26.61428571428571,2.883895131086134
2006-07-31,27.14,Historical,,,26.881428571428568,1.2013105205678887
2006-08-01,26.94,Historical,,,27.03142857142857,0.7369196757553431
2006-08-02,26.63,Historical,,,26.987142857142857,1.1507052709725407
2006-08-03,26.9,Historical,,,26.979999999999997,1.0138941043935423
2006-08-04,26.99,Historical,,,26.967142857142854,0.33457249070631967
2006-08-07,27.08,Historical,,,27.021428571428572,0.3334568358651424
2006-08-08,27.44,Historical,,,27.017142857142858,1.3293943870014813
2006-08-09,27.22,Historical,,,27.02857142857143,0.8017492711370311
2006-08-10,27.49,Historical,,,27.107142857142858,0.9919177075679686
2006-08-11,27.5,Historical,,,27.231428571428573,0.03637686431430254
2006-08-14,27.26,Historical,,,27.282857142857143,0.8727272727272695
2006-08-15,28.17,Historical,,,27.451428571428576,3.338224504768883
2006-08-16,28.39,Historical,,,27.638571428571428,0.7809726659566918
2006-08-17,28.91,Historical,,,27.84857142857143,1.8316308559351846
2006-08-18,29.78,Historical,,,28.214285714285715,3.009339328951932
2006-08-21,28.9,Historical,,,28.415714285714284,2.9550033579583745
2006-08-22,29.26,Historical,,,28.667142857142856,1.2456747404844482
2006-08-23,28.7,Historical,,,28.872857142857146,1.9138755980861344
2006-08-24,28.99,Historical,,,28.99,1.010452961672481
2006-08-25,28.77,Historical,,,29.044285714285714,0.7588823732321504
2006-08-28,28.91,Historical,,,29.044285714285714,0.48661800486617945
2006-08-29,28.96,Historical,,,28.927142857142858,0.17295053614665434
2006-08-30,29.02,Historical,,,28.944285714285716,0.2071823204419898
2006-08-31,28.83,Historical,,,28.882857142857144,0.6547208821502504
2006-09-01,29.49,Historical,,,28.995714285714286,2.289281997918846
2006-09-05,29.07,Historical,,,29.00714285714286,1.42421159715157
2006-09-06,28.5,Historical,,,28.96857142857143,1.9607843137254943
2006-09-07,27.86,Historical,,,28.818571428571428,2.2456140350877174
2006-09-08,28.14,Historical,,,28.701428571428572,1.005025125628145
2006-09-11,28.61,Historical,,,28.64285714285714,1.6702203269367333
2006-09-12,29.09,Historical,,,28.68,1.6777350576721473
2006-09-13,29.17,Historical,,,28.634285714285713,0.2750085940185665
2006-09-14,29.03,Historical,,,28.62857142857143,0.47994514912581554
2006-09-15,29.32,Historical,,,28.745714285714286,0.9989665862900399
2006-09-18,29.0,Historical,,,28.90857142857143,1.0914051841746208
2006-09-19,25.75,Historical,,,28.56714285714286,11.206896551724132
2006-09-20,25.64,Historical,,,28.142857142857142,0.4271844660194146
2006-09-21,25.34,Historical,,,27.607142857142858,1.1700468018720822
2006-09-22,25.52,Historical,,,27.085714285714285,0.710339384372527
2006-09-25,25.29,Historical,,,26.55142857142857,0.9012539184953039
2006-09-26,25.05,Historical,,,25.94142857142857,0.9489916963226541
2006-09-27,24.65,Historical,,,25.32,1.5968063872255578
2006-09-28,25.33,Historical,,,25.259999999999998,2.758620689655178
2006-09-29,25.28,Historical,,,25.208571428571428,0.19739439399919512
2006-10-02,24.88,Historical,,,25.142857142857142,1.5822784810126667
2006-10-03,24.84,Historical,,,25.045714285714286,0.1607717041800627
2006-10-04,25.21,Historical,,,25.034285714285716,1.4895330112721483
2006-10-05,25.18,Historical,,,25.052857142857142,0.11900039666798978
2006-10-06,25.47,Historical,,,25.169999999999998,1.1517077045273938
2006-10-09,25.03,Historical,,,25.12714285714286,1.727522575579099
2006-10-10,24.47,Historical,,,25.011428571428574,2.2373152217339265
2006-10-11,24.24,Historical,,,24.919999999999998,0.9399264405394403
2006-10-12,24.12,Historical,,,24.81714285714286,0.4950495049504844
2006-10-13,24.42,Historical,,,24.704285714285714,1.243781094527363
2006-10-16,24.18,Historical,,,24.561428571428568,0.9828009828009909
2006-10-17,24.15,Historical,,,24.37285714285714,0.12406947890819531
2006-10-18,22.99,Historical,,,24.08142857142857,4.803312629399592
2006-10-19,23.14,Historical,,,23.89142857142857,0.6524575902566498
2006-10-20,23.21,Historical,,,23.744285714285716,0.30250648228176136
2006-10-23,23.37,Historical,,,23.63714285714286,0.6893580353295903
2006-10-24,23.53,Historical,,,23.509999999999998,0.6846384253316184
2006-10-25,24.49,Historical,,,23.554285714285715,4.079898002549931
2006-10-26,25.28,Historical,,,23.715714285714284,3.2258064516129226
2006-10-27,25.34,Historical,,,24.05142857142857,0.2373417721518889
2006-10-30,25.95,Historical,,,24.452857142857145,2.407261247040249
2006-10-31,26.34,Historical,,,24.900000000000002,1.5028901734104094
2006-11-01,25.99,Historical,,,25.274285714285714,1.3287775246773048
2006-11-02,26.53,Historical,,,25.70285714285714,2.077722200846499
2006-11-03,26.18,Historical,,,25.944285714285716,1.3192612137203241
2006-11-06,26.59,Historical,,,26.131428571428568,1.5660809778456741
2006-11-07,26.61,Historical,,,26.312857142857144,0.07521624670929761
2006-11-08,26.9,Historical,,,26.448571428571427,1.0898158586997386
2006-11-09,27.45,Historical,,,26.607142857142858,2.0446096654275214
2006-11-10,27.39,Historical,,,26.807142857142857,0.21857923497267118
2006-11-13,27.4,Historical,,,26.931428571428572,0.036509675063878255
2006-11-14,27.24,Historical,,,27.08285714285714,0.583941605839422
2006-11-15,27.15,Historical,,,27.162857142857142,0.3303964757709221
2006-11-16,26.64,Historical,,,27.16714285714286,1.8784530386740217
2006-11-17,26.91,Historical,,,27.16857142857143,1.0135135135135087
2006-11-20,26.72,Historical,,,27.064285714285717,0.7060572277963639
2006-11-21,27.14,Historical,,,27.02857142857143,1.5718562874251552
2006-11-22,28.49,Historical,,,27.184285714285714,4.974207811348563
2006-11-24,28.03,Historical,,,27.29714285714286,1.6146016146016073
2006-11-27,27.27,Historical,,,27.314285714285713,2.7113806635747473
2006-11-28,27.0,Historical,,,27.365714285714287,0.990099009900991
2006-11-29,27.04,Historical,,,27.384285714285713,0.1481481481481417
2006-11-30,27.01,Historical,,,27.425714285714285,0.1109467455621238
2006-12-01,26.49,Historical,,,27.332857142857144,1.9252128841170002
2006-12-04,26.89,Historical,,,27.104285714285712,1.5100037750094497
2006-12-05,27.43,Historical,,,27.018571428571427,2.008181480104132
2006-12-06,26.86,Historical,,,26.960000000000004,2.0780167699599006
2006-12-07,26.63,Historical,,,26.907142857142862,0.8562918838421418
2006-12-08,26.34,Historical,,,26.807142857142853,1.0889973713856471
2006-12-11,26.49,Historical,,,26.732857142857142,0.5694760820045497
2006-12-12,26.75,Historical,,,26.77,0.9815024537561445
2006-12-13,26.6,Historical,,,26.728571428571428,0.5607476635513975
2006-12-14,26.87,Historical,,,26.648571428571426,1.0150375939849576
2006-12-15,26.9,Historical,,,26.654285714285717,0.11164867882396123
2006-12-18,26.3,Historical,,,26.607142857142858,2.2304832713754608
2006-12-19,26.41,Historical,,,26.61714285714286,0.41825095057033135
2006-12-20,25.59,Historical,,,26.48857142857143,3.1048845134418745
